Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region,Province
8019,20066595,8620,975000,apartment,2.0,92.0,0,1,1,,,0,As new,10597.826086956522,Flanders,West Flanders
10216,20068787,8300,975000,apartment,3.0,110.0,0,0,1,,,0,As new,8863.636363636364,Flanders,West Flanders
3584,20143919,9630,975000,house,6.0,615.0,0,0,1,,,1,As new,1585.3658536585365,Flanders,East Flanders
2651,20240153,8620,975000,house,3.0,155.0,1,1,1,,,0,To renovate,6290.322580645161,Flanders,West Flanders
4752,11389828,6700,975000,house,5.0,506.0,1,0,1,,,0,Good,1926.8774703557312,Wallonia,Luxembourg
7820,20226905,1050,975000,apartment,3.0,204.0,0,0,1,25.0,,0,As new,4779.411764705882,Brussels,Brussels
8290,20065846,8300,975000,apartment,3.0,110.0,0,0,1,,,0,Just renovated,8863.636363636364,Flanders,West Flanders
3111,20200985,6700,975000,house,7.0,370.0,0,0,1,40.0,1000.0,0,As new,2635.135135135135,Wallonia,Luxembourg
7819,20226904,1000,975000,apartment,3.0,204.0,0,0,1,25.0,,0,As new,4779.411764705882,Brussels,Brussels
6663,20196255,8300,975000,apartment,3.0,110.0,0,1,1,,,0,Good,8863.636363636364,Flanders,West Flanders
10336,11443930,8300,975000,apartment,2.0,112.0,0,0,1,,,0,Just renovated,8705.357142857143,Flanders,West Flanders
2792,20132489,4053,970000,house,4.0,305.0,1,0,1,20.0,1060.0,1,As new,3180.3278688524592,Wallonia,Liège
5546,20221779,8301,970000,apartment,2.0,117.0,1,0,1,,,0,Good,8290.598290598291,Flanders,West Flanders
1288,20243942,9160,969000,house,3.0,190.0,0,0,1,20.0,20000.0,0,To be done up,5100.0,Flanders,East Flanders
583,20231229,1150,965000,house,6.0,225.0,0,0,1,30.0,250.0,0,Good,4288.888888888889,Brussels,Brussels
394,20193110,1050,955000,house,5.0,395.0,0,0,1,,100.0,0,To renovate,2417.721518987342,Brussels,Brussels
5957,20243520,8300,955000,apartment,2.0,65.0,0,0,1,,,0,As new,14692.307692307691,Flanders,West Flanders
2562,20205429,9860,950000,house,5.0,982.0,0,0,1,,,0,Good,967.4134419551934,Flanders,East Flanders
5676,20213021,8300,950000,apartment,1.0,72.0,0,0,1,,,0,To renovate,13194.444444444445,Flanders,West Flanders
199,20191048,1970,950000,house,4.0,240.0,0,0,1,,420.0,0,Good,3958.3333333333335,Flanders,Flemish Brabant
5381,20233310,1050,950000,apartment,3.0,223.0,0,0,1,13.0,,0,As new,4260.089686098655,Brussels,Brussels
229,20229362,1180,950000,house,4.0,193.0,1,0,1,1.0,150.0,0,As new,4922.279792746114,Brussels,Brussels
7723,20212729,2000,950000,apartment,3.0,183.0,0,0,1,86.0,,0,As new,5191.256830601093,Flanders,Antwerp
1536,20234548,1150,950000,house,5.0,271.0,1,0,1,25.0,,0,Good,3505.5350553505536,Brussels,Brussels
5025,20162378,1495,950000,house,4.0,278.0,0,0,1,81.0,2950.0,1,As new,3417.26618705036,Wallonia,Walloon Brabant
1636,20128641,3600,949000,house,4.0,419.0,0,0,1,,,1,As new,2264.9164677804297,Flanders,Limburg
4955,20176963,9080,949000,house,4.0,415.0,1,0,1,,,0,As new,2286.746987951807,Flanders,East Flanders
4092,11440849,2160,949000,house,2.0,793.0,0,0,1,,,0,Good,1196.72131147541,Flanders,Antwerp
4091,10799372,1160,945000,house,5.0,251.0,0,0,1,15.0,62.0,0,As new,3764.9402390438245,Brussels,Brussels
509,20243794,8300,945000,house,4.0,158.0,0,0,1,,,0,Just renovated,5981.012658227848,Flanders,West Flanders
173,20230482,1650,945000,house,4.0,465.0,0,0,1,,,0,Good,2032.258064516129,Flanders,Flemish Brabant
5831,20242087,1000,945000,apartment,3.0,280.0,0,0,1,,,0,Good,3375.0,Brussels,Brussels
174,20230386,1755,945000,house,4.0,465.0,0,0,1,,,0,Good,2032.258064516129,Flanders,Flemish Brabant
